ITSN1_N,BDNF_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,pS6_N,SYP_N,CaNA_N
-0.2914314606311074,-0.8435624789525621,1.7901167313393782,-1.5194600240602396,-1.7284157747366347,0.8644685974648411,-1.4600539152090055,0.5601502690749275,-0.3741027235906511,-1.182923500205974,-0.9095672750507433,-1.2142678872992876,0.02182046460226865,-0.5014156352410851,0.6300389273014549,0.8367042263246037,-0.817352210650704,-0.151560642039462,-0.876375195262764,-0.9953121970267287,-1.7206809294600953,0.6239889838003813,1.3043376042598644,0.42997995465518657,-1.3298146186363682,-1.1404442461543065,-0.20595898417809744,-1.7966958008903406,-0.7898568033279466,1.1110745254088108,-0.9955786850715229,-0.7797110060793133,-1.092622777654417,-0.192139140342436,-0.5500594686054922,-0.8027404840603655,-0.5339724225756864,-0.929575353000124,-1.0800733624470737,-0.7280204538593696,-1.2235981783324081,-1.702922164259991,-0.1711144121018805,-1.6470962343564595,0.36678711149761456,-1.2217974910369325,-1.0367521161060158,0.2919753103032396,-1.771258297735399,-1.8382069634926859,-1.666793439817294,-1.9310950634025257,-1.7334848139507828,-2.077919700268132,-2.1602968487561895,-1.4782190716976717,-1.9466211317436155,-0.8417458990865084,-1.3961918965267628,0.47207023047862656,0.7005569636856184,-2.223456596930779,0.043996967515064905,-0.18445602956104887,-1.666793439817294,-2.2414409920126324,-0.8507389789168586,0.5162025521426904
-0.3724217800009986,-0.8872895025232166,1.7378377869868313,-1.5528867287544075,-1.755521914732761,0.8294902020365204,-1.4829281412968434,0.4677366121281686,-0.3638344694287447,-1.207140857310595,-0.951952176943806,-1.2682664061253637,-0.04429057392605782,-0.5317791094457058,0.5456756373894023,0.7144371908592795,-0.8091824873845084,-0.18073171646010922,-0.9153805736938009,-1.0323260375756826,-1.7505426534599675,0.5659083362610018,1.2485504138472754,0.41161250541622474,-1.3636447315598912,-1.1893513145341923,-0.24781519759312595,-1.8502776148491156,-0.8417857460407947,1.072228096229599,-1.0721281910140978,-0.8590604336735046,-1.1244389676437447,-0.27217936021433836,-0.6067909919927152,-0.8654168686855733,-0.6067909919927152,-0.9989807946602898,-1.1333305489318897,-0.7885148712179876,-1.285795639653629,-1.7032744790398853,-0.1653292134727838,-1.6357034770902001,0.3642679008432996,-1.2239720765554634,-1.0369107589252258,0.26721638770158457,-1.7635972164652136,-1.8443444711949633,-1.689726434900951,-1.8939857816362426,-1.7242372001469448,-2.0078648218725594,-2.135085313052393,-1.4351776692270846,-1.95167026169759,-0.7827302331107202,-1.3562222731562759,0.5138635382275215,0.69544713114473,-2.2095636667527043,0.009834540981462869,-0.16337763572751934,-1.6074219408709929,-2.238745353447472,-0.8173931558408375,0.5559574730254382
-0.31437272663182625,-0.8715354086433904,1.7266978854504025,-1.5653688513450073,-1.7388508717452755,0.8256377601013994,-1.4686035235961516,0.44552921102111703,-0.3895695402026495,-1.2334837776779666,-0.9649493763176854,-1.2668758635606945,0.0036283814554144453,-0.5067525583038629,0.5492034627621685,0.7020987687762775,-0.7599968973872059,-0.20539027372688132,-0.916673432594735,-0.9994311470766671,-1.7492476872032097,0.5684590218830452,1.2729733283436067,0.40629379332037524,-1.3485611190880749,-1.165564279882989,-0.24187539190715066,-1.8270011191240405,-0.8599404154291955,1.0798154688179908,-1.067997171707915,-0.8556548560034003,-1.1243864130565882,-0.2783513368084175,-0.6095054181837345,-0.9047826866703685,-0.5924080026529407,-1.0109315345113719,-1.1612776851994289,-0.8047555177147856,-1.3600491086452304,-1.6907147271378862,-0.15529117511149618,-1.6057580066005863,0.42157739197187694,-1.197723227013054,-0.9516931394432044,0.2465477963642123,-1.6849360365553203,-1.9058492879636297,-1.6579342535237616,-1.9287468910475345,-1.7360625488495827,-2.020717069416434,-2.139104883174282,-1.407243187531374,-1.9487995503577304,-0.6724188583221533,-1.3651474534598425,0.5089538154252792,0.7015272291650209,-2.223809070304233,-0.0031573622263285305,-0.166398565562766,-1.6415244845958143,-2.222821907460106,-0.8306249212113295,0.6556667774283225
-0.48276284291924715,-1.0254743602118224,1.6053301250159209,-1.5010955578799408,-1.734646300411647,0.7665374099479421,-1.5750161574209738,0.4669277755290101,-0.5390934625761918,-1.2149371773127524,-0.9752793224074014,-1.1588976178632964,-0.1330854874835697,-0.6533627820763257,0.44906862516540025,0.7574141839023959,-0.7388337085945333,-0.31786004251149674,-0.9528544645283793,-1.0134350900055924,-1.7178648246841925,0.2517517185444695,1.0886081126919855,0.3504522837850984,-1.348860751577743,-1.2757619567649074,-0.3085766489875926,-1.8188643808234788,-0.890099476955723,0.91637217295774,-1.0656341990522946,-0.8458058286869573,-1.1082966036366408,-0.29171716918238605,-0.6037405927127817,-0.94969157358117,-0.6017564645556965,-1.0030183291330617,-1.1132430288787756,-0.8149766705813203,-0.9199624569140068,-1.8215939172764144,-0.27412962842413696,-1.691899080977975,0.47771262034577594,-1.216106858434779,-1.2355339279756792,0.1812914514175415,-1.833838109246628,-1.79509133372903,-1.68565250503227,-1.9614397921652944,-1.809083332559571,-2.0938686497231496,-2.1418327124254257,-1.448396552254428,-1.9305511437653275,-0.8416567968131765,-1.3818916034969477,0.39516171801691774,0.6715317646148381,-2.1212370182133204,-0.00982339594974386,-0.18238944349820482,-1.649677404766701,-2.2712437832759322,-0.9372820357665193,0.5309596302676631
-0.48218983960761447,-1.0249840116925821,1.5515288161260887,-1.5459658237960827,-1.7508461662365453,0.7580045713219437,-1.6494377658383315,0.4082810669053203,-0.5960928535740895,-1.2484082918776935,-1.011970257128114,-1.2802626591579942,-0.1451274593011559,-0.6772939201881106,0.3920820086007986,0.699972232317003,-0.7268774207033886,-0.3742662796005307,-1.000948837253452,-1.0347622022598564,-1.7439097242570312,0.28118187285514273,1.0634458318198374,0.3073938573866241,-1.3834784016579427,-1.2958423303072688,-0.3528265399822367,-1.8654440273418467,-0.9199229403640753,0.8987618703163126,-1.1113151636374492,-0.8946388277996998,-1.1602277325616592,-0.3682321967282393,-0.6220170301482992,-1.01938593750751,-0.6678226583981957,-1.0454005995769347,-1.1640912262586511,-0.8696578023869985,-0.932808842804652,-1.8313306837997825,-0.26381852669439165,-1.6835244902012991,0.4982309988007233,-1.2145978170590803,-1.1732980715684678,0.1881336794716781,-1.8039317092742526,-1.8282970922889672,-1.6701364132295198,-1.9520477073922848,-1.7855211460914828,-1.9889596246538992,-2.1537527763361344,-1.3644242920628493,-1.959914016086782,-0.7314171571664797,-1.3792271924883475,0.42842302087887063,0.6976911450982987,-2.1242346941539356,-0.0022274819970414775,-0.12934840609541798,-1.5818021814102328,-2.2558565095654726,-0.8343564228685645,0.6096189402188616
-0.4649351676257322,-1.001336523710767,1.5702053696908498,-1.5206134193000675,-1.735946224722836,0.7614049159005221,-1.6337945158568754,0.3663071255739434,-0.5685614478045394,-1.2384817783762756,-1.0108954215951413,-1.3211175187526703,-0.15184568004817894,-0.6514168748392343,0.43064175833016616,0.6771576801063544,-0.701381011702012,-0.3968985981550165,-0.9958630564451714,-1.0295387640337108,-1.716308133790969,0.20493878637177348,1.0841696493768587,0.37012090596771036,-1.3829393275445023,-1.2586276934243146,-0.3504149330426657,-1.8523000790735944,-0.9389270510856207,0.9030566176170571,-1.1159686577951051,-0.9051286330332137,-1.2164625407084637,-0.3939042851898471,-0.6166990839203175,-1.0378532495331463,-0.6649165609334328,-1.0577849178423069,-1.193586459629729,-0.8847331905789138,-0.9608219303272079,-1.8181220258491175,-0.24885301290783962,-1.677754302072217,0.49140753814418325,-1.24466518919033,-1.1015152552010925,0.11639947453250626,-1.739017848072249,-1.8931685288481321,-1.693779063107851,-1.9692285622902794,-1.743858517433647,-2.0362693689132185,-2.160710488210359,-1.440330157995029,-1.991770502315281,-0.7369371397164312,-1.4086001191153918,0.41063647948762694,0.6949131543099841,-2.114553063695169,-0.08318796790607741,-0.16998283408406992,-1.6582634279783848,-2.2398333797473335,-0.8213598398994568,0.5968502303077615
-0.5556560074744592,-1.0708736234247784,1.4980884112174926,-1.4908869628102452,-1.6927990270179447,0.6993347857859941,-1.6307186904569884,0.47749825859299455,-0.6735417609432158,-1.2051257854199222,-0.9911483926665003,-1.2813739154786716,-0.16927069853752902,-0.7228096972396462,0.40200217373280145,0.6994128650970742,-0.6981881489181729,-0.4367475817030267,-0.9263982082490338,-1.0229790369877092,-1.6817585720137265,0.10237050603090637,0.9553663879687083,0.3105948061433955,-1.3414327684539276,-1.2864803098974245,-0.36655568955586626,-1.8191584444161695,-0.9024801904380175,0.82803293537181,-1.0631092544504348,-0.8496576511713074,-1.0968853077584544,-0.2776757352462058,-0.5823020463573264,-0.9970932076817518,-0.6076559198618722,-1.0207961077127254,-1.1106263452991876,-0.8663339674950592,-0.7654678422895714,-1.9271256938420234,-0.3534691593899976,-1.731418546944645,0.5731498028693395,-1.2303355204297828,-1.321040935587374,0.031774239550900175,-1.9115264886793764,-1.8983467303638537,-1.7058930049008691,-1.946400667339739,-1.8848000545115997,-2.1543483029344883,-2.1649753954719273,-1.4937912906187751,-1.9321918417913169,-0.878202344656137,-1.4354605677844399,0.29176038133309673,0.621494460882452,-2.1452286286180526,0.02836383807072715,-0.22529133991173594,-1.7058930049008691,-2.3244822657198014,-0.9006796685881747,0.4242763016125821
-0.5726378610394037,-1.1156484749134612,1.45131744702449,-1.5378889345722917,-1.7166428780444205,0.6971318601690668,-1.6617662686291415,0.35389158990018277,-0.6909996102407565,-1.262251948302298,-1.0247785741910151,-1.3608230040248688,-0.20010779103369136,-0.7370964996493754,0.3431626869899882,0.6189801443542844,-0.7142528668688828,-0.46510165875897624,-1.0196569236296789,-1.0196569236296789,-1.7612112013293428,0.07454662600248206,0.9361776646361369,0.27508773974426565,-1.3838403706191083,-1.326681959660968,-0.3906793797245363,-1.8353879169065368,-0.9796015056687004,0.8246898803575832,-1.1142436513374916,-0.8983325569859746,-1.1307573555908652,-0.3635871597834179,-0.6442985171492462,-1.0783942241485127,-0.6736818454344926,-1.0838265602844817,-1.2088989210735146,-0.9340300727105515,-0.8200317069112614,-1.9115698768648857,-0.38281224072582026,-1.7452624694943897,0.5854397970497283,-1.2429797560611506,-1.2426873162873282,0.14155816385520442,-1.8812134144966455,-1.867465601451847,-1.6989841467343478,-1.964908039598989,-1.8405243186179088,-2.1237859074724557,-2.1524206447845136,-1.3990333870511666,-2.0067088347699897,-0.7959792487701368,-1.421156654159794,0.3264766965246939,0.6777550659077544,-2.146627729060972,-0.058111958201259285,-0.16964277926179375,-1.6525480383565514,-2.307661244880868,-0.9609438944973453,0.5023850388406871
-0.6191013586232224,-1.1465834715942513,1.402155435594548,-1.573966633092458,-1.7851110867816589,0.6213900926803241,-1.711003111647816,0.23261135071829614,-0.740966239205017,-1.3206326322663449,-1.087651693056753,-1.416323112810381,-0.2900049535857501,-0.7787884776287596,0.29400628961673003,0.5999736378200767,-0.7668536622448298,-0.5097627704613941,-1.1191228239720474,-1.1120431472066448,-1.7696733862963334,0.008806813920488871,0.8897823767004931,0.22476636344203513,-1.467836645263075,-1.3759076542054782,-0.4532081117166432,-1.869846432616821,-1.0463478895054708,0.7604371335038222,-1.173881027635655,-0.9715913131424987,-1.2224132524096238,-0.4511568295876779,-0.7237738371150134,-1.1289399481046112,-0.7339933441222694,-1.1645438916938242,-1.2754962213727894,-1.0283441283078039,-0.8634759748730626,-1.8963146026265914,-0.34135291236560145,-1.786936860720701,0.5906983213578629,-1.2226193319629353,-1.2237926971711646,0.10247306407891657,-1.839859264057249,-1.90613842908033,-1.7230428815039478,-1.9821243372974477,-1.8301241978006912,-2.0877633682262418,-2.1473004877318713,-1.453045273390901,-2.0204432015428804,-0.7853200215624375,-1.4438590989100006,0.3394522042468026,0.6722994632273673,-2.1727509643342633,-0.05455172362258721,-0.1837037275520266,-1.6799796864228718,-2.2524146627825847,-0.8308308275877913,0.6068261732103466
-0.6945608933811782,-1.014835199101832,1.2805413478894132,-1.4799510127557296,-1.670819629524849,0.5410797649800487,-1.670819629524849,0.3466551861025671,-0.7863606709545279,-1.1266505537424374,-0.9988171793940719,-1.2596483745926246,-0.2963980491269473,-0.8114853652830606,0.30409557122265224,0.5784371176701023,-0.7071703755554678,-0.5611810896311631,-1.0923754711110294,-0.9361639985652381,-1.6175433277410316,-0.09854446557233185,0.7746946158704943,0.221729838092411,-1.3558835918082914,-1.1989400797560648,-0.45140867206611246,-1.7465796774739217,-0.9664693477466987,0.6538376640637639,-0.9835912210696622,-0.8358599902647559,-0.9305186148727217,-0.29829996596866354,-0.5920743513058848,-1.0294176223431062,-0.633033166257813,-1.0254706181620539,-1.09057204423543,-0.8532353983970562,-0.6817093110965823,-1.9656633145747469,-0.44953117456930647,-1.7396346882213343,0.6557548308910061,-1.1979210100956295,-1.3871940457147307,-0.07151725219938858,-1.9278635420724852,-1.7942355562028227,-1.765576480970178,-2.083948080891031,-1.8929321262200334,-2.1406283740069867,-2.0669302078475664,-1.495459067990646,-1.9094863002139504,-0.8892320839688395,-1.4071947117339132,0.25360995321303836,0.5982359768540708,-1.966466204507218,-0.030125509559807338,-0.21890904948530013,-1.6632428794849092,-2.3719313126153825,-0.879975280583162,0.41664340483454976
